image_id,method,n_steps,generated_text,avg_n_above_apc,avg_expert_entropy,avg_amateur_entropy,avg_cd_prob_shift,avg_logit_diff_top1
2261,sid,80," The image captures a young man riding a wave on a surfboard in the ocean. He is skillfully balancing on the surfboard, enjoying the thrill of the wave. The surfer is wearing a black shirt and appears",2.1375,1.0353145617683426,0.9736983819390941,0.3008800727010218,-0.159765625
2473,greedy,145," The image captures a thrilling moment of a person on skis jumping high into the air, performing a trick. The skier is in the center of the scene, with their skis visible as they soar through the air.",,1.117021579525177,,,
2473,vcd,129," The image captures a thrilling moment of a snowboarder in mid-air, performing a jump off a ramp. The snowboarder is in the center of the scene, showcasing their impressive skills. 

There are several",2.2325581395348837,1.0403473913272883,1.0617336637858044,0.2841828703580127,0.19107315891472867
2473,sid,130," The image captures an exciting moment of a skier performing a jump in the air, with their skis visible as they soar through the air. The skier is in the center of the scene, showcasing their impressi",2.3230769230769233,1.153151095024045,1.1450416941198585,0.321777315251188,0.08275240384615384
4765,greedy,114, The image captures a man skillfully riding a wave on a surfboard in the ocean. He is wearing a yellow shirt and appears to be enjoying the thrill of the ride. The surfer is positioned in the center o,,1.192772240364103,,,
4765,vcd,94," The image captures a man skillfully riding a wave on a surfboard in the ocean. He is wearing a yellow shirt and black pants, and he appears to be enjoying the thrill of the ride. The surfer is positi",2.1808510638297873,1.0893169475381193,1.0682031247266923,0.31097893482457883,0.030917553191489363
4765,sid,92," The image captures a man skillfully riding a wave on a surfboard in the ocean. He is wearing a yellow shirt and black pants, and he appears to be enjoying the thrill of the ride. The surfer is skillf",2.0,0.9514649340962629,0.8961679418245714,0.29219549710846027,-0.05103600543478261
5529,greedy,95," The image captures a person skiing down a snow-covered slope, surrounded by trees. The skier is wearing a blue jacket and is skillfully navigating the snowy terrain. The skis are clearly visible bene",,1.125719708354084,,,
5529,vcd,117," The image captures a man skiing down a snow-covered slope, skillfully navigating through the deep snow. He is wearing a blue jacket and goggles, which protect him from the cold and snowy conditions. ",2.376068376068376,1.1972425116632748,1.1911403353721737,0.3331024264077833,0.06643963675213675
5529,sid,104," The image captures a man skiing down a snow-covered slope, surrounded by trees. He is wearing a helmet and goggles, ensuring his safety and visibility while skiing. The man is skillfully navigating t",2.355769230769231,1.1870738986004632,1.1619830692819,0.34068160302668155,0.014197716346153846
6040,greedy,94," The image features a blue and white train traveling down the tracks, with a red stripe on the side. The train is carrying many passengers, as there are at least 13 people visible on the train, some o",,1.3464523822540715,,,
6040,vcd,122," The image features a blue and white train traveling down the tracks, with a red stripe on the side. The train is carrying many passengers, with at least 13 people visible through the windows. Some of",2.5081967213114753,1.2328022900051692,1.2511866039568469,0.3459248172259692,0.17565317622950818
6040,sid,105," The image features a blue and white train traveling down the tracks, with several people visible inside and around the train. There are at least 12 people in the scene, some of them sitting and other",2.533333333333333,1.3092442559780801,1.2784301783473633,0.36005155742142536,-0.023958333333333335
6763,greedy,127," The image features a man and a woman standing close to each other, posing for a picture. The man is wearing a tie, and the woman is wearing a white shirt. They are both smiling and appear to be enjoy",,1.0167458809278307,,,
6763,vcd,132," The image features a man and a woman standing close to each other, posing for a picture. The man is wearing a tie, and the woman is wearing a white shirt. They are both smiling and appear to be enjoy",2.265151515151515,1.0537186797758924,1.0602232377171208,0.2812991389631007,0.13914535984848486
6763,sid,139," The image features a man and a woman posing together for a picture in a bar setting. The man is wearing a purple shirt and a colorful tie, while the woman is in a white tank top. They are both smilin",2.1654676258992804,1.0351567970361173,1.0397181669070068,0.3069376710898535,0.19514388489208634
